Net Id, Layer Id,Profile Layer Id,Layer Name,Layer Type,DLD DDR Read(byte),DSTR DDR Write(byte),WLD DDR Read(byte),Original Ops(Times),Core Ops(Times)
NetNnn0,Total,--,--,--,28917440,39758080,3217264,10019788800,10707189760
NetNnn0,Layer0,0,images,Preprocess,1228800,0,0,0,0
NetNnn0,Layer1,0,Conv_0,Convolution,0,0,432,88473600,235929600
NetNnn0,Layer2,0,Mul_2,VectorCombine,0,0,0,0,0
NetNnn0,Layer3,0,Conv_3,Convolution,0,0,4608,235929600,235929600
NetNnn0,Layer4,0,Conv_6,Convolution,0,819200,1024,52428800,52428800
NetNnn0,Layer5,1,Conv_0,Convolution,0,0,432,88473600,235929600
NetNnn0,Layer6,1,Mul_2,VectorCombine,0,0,0,0,0
NetNnn0,Layer7,1,Conv_3,Convolution,0,0,4608,235929600,235929600
NetNnn0,Layer8,1,Conv_6,Convolution,0,819200,1024,52428800,52428800
NetNnn0,Layer9,2,Split_10_bridge_Concat_18_nop_0,Nop,819200,1228800,0,0,0
NetNnn0,Layer10,3,Split_10_bridge_Concat_18_nop_1,Nop,819200,1228800,0,0,0
NetNnn0,Layer11,3,Conv_11,Convolution,0,0,2304,117964800,117964800
NetNnn0,Layer12,3,Conv_14,Convolution,0,0,2304,117964800,117964800
NetNnn0,Layer13,3,Add_17,Eltwise,0,1228800,0,0,0
NetNnn0,Layer14,4,Conv_19,Convolution,1228800,0,1536,78643200,78643200
NetNnn0,Layer15,4,Conv_22,Convolution,0,0,18432,235929600,235929600
NetNnn0,Layer16,4,Conv_25,Convolution,0,409600,4096,52428800,52428800
NetNnn0,Layer17,5,Conv_19,Convolution,1228800,0,1536,78643200,78643200
NetNnn0,Layer18,5,Conv_22,Convolution,0,0,18432,235929600,235929600
NetNnn0,Layer19,5,Conv_25,Convolution,0,409600,4096,52428800,52428800
NetNnn0,Layer20,6,Split_29_bridge_Concat_44_nop_0,Nop,409600,819200,0,0,0
NetNnn0,Layer21,7,Split_29_bridge_Concat_44_nop_1,Nop,409600,819200,0,0,0
NetNnn0,Layer22,7,Conv_30,Convolution,0,0,9216,117964800,117964800
NetNnn0,Layer23,7,Conv_33,Convolution,0,0,9216,117964800,117964800
NetNnn0,Layer24,7,Add_36,Eltwise,0,204800,0,0,0
NetNnn0,Layer25,8,Conv_37,Convolution,204800,0,9216,117964800,117964800
NetNnn0,Layer26,8,Conv_40,Convolution,0,0,9216,117964800,117964800
NetNnn0,Layer27,8,Add_43,Eltwise,0,819200,0,0,0
NetNnn0,Layer28,8,Concat_44_bridge_0_0,Nop,0,819200,0,0,0
NetNnn0,Layer29,9,Conv_45,Convolution,819200,1228800,8192,104857600,104857600
NetNnn0,Layer30,10,Conv_48,Convolution,1228800,204800,73728,235929600,235929600
NetNnn0,Layer31,11,Conv_51,Convolution,204800,204800,16384,52428800,52428800
NetNnn0,Layer32,12,Split_55_bridge_Concat_70_nop_0,Nop,204800,409600,0,0,0
NetNnn0,Layer33,13,Split_55_bridge_Concat_70_nop_1,Nop,204800,409600,0,0,0
NetNnn0,Layer34,13,Conv_56,Convolution,0,102400,36864,117964800,117964800
NetNnn0,Layer35,14,Conv_59,Convolution,102400,0,36864,117964800,117964800
NetNnn0,Layer36,14,Add_62,Eltwise,204800,102400,0,0,0
NetNnn0,Layer37,15,Conv_63,Convolution,102400,102400,36864,117964800,117964800
NetNnn0,Layer38,16,Conv_66,Convolution,102400,0,36864,117964800,117964800
NetNnn0,Layer39,16,Add_69,Eltwise,102400,409600,0,0,0
NetNnn0,Layer40,16,Concat_70_bridge_0_0,Nop,0,409600,0,0,0
NetNnn0,Layer41,17,Conv_71,Convolution,409600,614400,32768,104857600,104857600
NetNnn0,Layer42,18,Conv_74,Convolution,614400,102400,294912,235929600,283115520
NetNnn0,Layer43,19,Conv_77,Convolution,102400,102400,65536,52428800,62914560
NetNnn0,Layer44,20,Split_81_bridge_Concat_89_nop_0,Nop,102400,153600,0,0,0
NetNnn0,Layer45,21,Split_81_bridge_Concat_89_nop_1,Nop,102400,153600,0,0,0
NetNnn0,Layer46,22,Conv_82,Convolution,102400,51200,147456,117964800,141557760
NetNnn0,Layer47,23,Conv_85,Convolution,51200,51200,147456,117964800,141557760
NetNnn0,Layer48,24,Add_88,Eltwise,153600,153600,0,0,0
NetNnn0,Layer49,25,Conv_90,Convolution,153600,102400,98304,78643200,94371840
NetNnn0,Layer50,26,Conv_93,Convolution,102400,51200,32768,26214400,31457280
NetNnn0,Layer51,26,MaxPool_96,PoolingMax,0,51200,0,2560000,24576000
NetNnn0,Layer52,27,MaxPool_97,PoolingMax,51200,0,0,2560000,24576000
NetNnn0,Layer53,27,MaxPool_98,PoolingMax,0,204800,0,2560000,24576000
NetNnn0,Layer54,27,Concat_99_bridge_2_0,Nop,0,204800,0,0,0
NetNnn0,Layer55,28,Concat_99_bridge_1_0,Nop,51200,204800,0,0,0
NetNnn0,Layer56,29,Concat_99_bridge_0_0,Nop,51200,204800,0,0,0
NetNnn0,Layer57,30,Conv_100,Convolution,204800,102400,131072,104857600,125829120
NetNnn0,Layer58,31,Resize_103,Upsample,102400,614400,0,0,0
NetNnn0,Layer59,32,Concat_159_bridge_0_0,Nop,102400,153600,0,0,0
NetNnn0,Layer60,33,Conv_105,Convolution,614400,204800,49152,157286400,157286400
NetNnn0,Layer61,34,Split_109_bridge_Concat_116_nop_0,Nop,204800,307200,0,0,0
NetNnn0,Layer62,35,Split_109_bridge_Concat_116_nop_1,Nop,204800,307200,0,0,0
NetNnn0,Layer63,35,Conv_110,Convolution,0,102400,36864,117964800,117964800
NetNnn0,Layer64,36,Conv_113,Convolution,102400,307200,36864,117964800,117964800
NetNnn0,Layer65,37,Conv_117,Convolution,307200,204800,24576,78643200,78643200
NetNnn0,Layer66,38,Resize_120,Upsample,204800,1228800,0,0,0
NetNnn0,Layer67,39,Concat_140_bridge_0_0,Nop,204800,307200,0,0,0
